Resort Name,Nearest City,State/Province,Peak Elevation (ft),Base Elevation (ft),Vertical Drop (ft),Skiable Area (acres),Total Trails,Total Lifts,Average Annual Snowfall (inches)
Winter Park Resort,Winter Park,Colorado,12060,9000,3060,3081,171.0,28.0,344
Saddleback Maine,Farmington,Maine,4120,2120,2000,600,68.0,6.0,225
Boyne Mountain,Boyne City,Michigan,"1,152 ft (351 m)",719 ft (219 m),433 ft (132 m),175,60.0,10.0,140
Mountain Creek,Vernon Township,New Jersey,1480,440,1040,200,41.0,8.0,65
Blue Mountain,Collingwood,Ontario,1498,756,742,250,34.0,15.0,109
Mt Bachelor,Bend,Oregon,9065,5700,3365,4318,101.0,11.0,462
Mount Hood Meadows,Portland,Oregon,7300,4523,2777,2150,85.0,11.0,430
Mont-Sainte-Anne,Beaupré,Quebec,2625,575,2050,450,65.0,13.0,187
Mont Tremblant Resort,Mont Tremblant,Quebec,2870,750,2120,627,95.0,14.0,156
Le Massif,Petite-Rivière-Saint-François,Quebec,2645,118,2527,410,48.0,4.0,248
Brian Head,Brian Head,Utah,11307,9600,1548,650,14.0,8.0,370
Park City Mountain Resort,Park City,Utah,10000,6900,3100,7300,348.0,43.0,360
Deer Valley,Park City,Utah,9570,6530,3040,4300,202.0,36.0,280
Brighton Ski Resort,Salt Lake City,Utah,10500,8755,1745,1050,66.0,6.0,500
Alta Ski Area,Salt Lake City,Utah,11068,8530,2538,2614,119.0,10.0,546
Snowbird,Salt Lake City,Utah,10992,7760,3240,2500,85.0,13.0,500
Smugglers' Notch,Jeffersonville,Vermont,3640,1030,2610,1000,78.0,16.0,288
Windham Mountain,Windham,New York,3100,1500,1600,279,52.0,12.0,100
Hunter Mountain,Hunter,New York,3200,1600,1600,240,58.0,10.0,120
Killington Ski Resort,Killington,Vermont,4241,1165,3050,1509,155.0,21.0,250
Okemo Mountain,Ludlow,Vermont,3344,1144,2200,632,119.0,19.0,200
Stowe Mountain Resort,Stowe,Vermont,3719,1559,2160,485,116.0,13.0,333
Sugarbush Resort,Warren,Vermont,4083,1483,2600,508,111.0,16.0,269
Sugarloaf,Carrabassett Valley,Maine,4237,1417,2820,1360,154.0,14.0,200
Snowshoe Mountain,Marlinton,West Virginia,4848,3348,1500,244,60.0,14.0,180
Banff Sunshine,Banff,Alberta,8954,5440,3514,3358,107.0,12.0,360
Mt. Norquay,Banff,Alberta,8040,5500,1650,190,28.0,5.0,120
Grouse Mountain,North Vancouver,British Columbia,4039,899,1198,212,26.0,5.0,120
Mount Seymour,North Vancouver,British Columbia,4150,935,1083,200,23.0,5.0,394
Cypress Mountain,West Vancouver,British Columbia,4724,2985,2001,600,53.0,6.0,245
Stevens Pass,Stevens Pass,Washington,5845,4061,1800,1125,37.0,10.0,450
Sun Peaks Resort,Kamloops,British Columbia,6824,3930,2894,4270,135.0,12.0,237
Crystal Mountain,Enumclaw,Washington,7012,3912,3100,2600,57.0,12.0,350
Red Mountain Resort,Rossland,British Columbia,6807,3887,2919,4200,110.0,7.0,300
Mt Baker,Glacier,Washington,5089,3500,1589,1000,31.0,10.0,641
Whiteface Mountain,Lake Placid,New York,4650,1220,3430,314,87.0,11.0,168
Powder Mountain,Eden,Utah,"9,422",6900,2205,"8,464",167.0,9.0,500
Sugar Mountain Resort,Banner Elk,North Carolina,5300,4100,1200,120,21.0,8.0,77
Beech Mountain Resort,Beech Mountain,North Carolina,5506,4675,831,95,17.0,8.0,84
Appalachian Ski Mountain,Blowing Rock,North Carolina,4000,3635,365,27,12.0,5.0,27
Cataloochee Ski Area,Maggie Valley,North Carolina,5400,4660,740,50,18.0,5.0,24
Sapphire Valley Ski Area,Sapphire,North Carolina,3400,3200,200,8,3.0,3.0,24
Wolf Ridge Ski Resort,Mars Hill,North Carolina,4700,4000,700,65,15.0,4.0,65
Aspen Highlands,Aspen,Colorado,11675,8040,3635,1024,118.0,5.0,300
Aspen Mountain,Aspen,Colorado,11212,7945,3267,828,104.0,9.0,300
Buttermilk,Aspen,Colorado,9900,7870,2030,454,43.0,5.0,200
Snowmass,Aspen,Colorado,12510,8110,4400,3342,98.0,20.0,300
Lee Canyon (Ski and Snowboard Resort),Las Vegas,Nevada,11289,8510,860,385,27.0,3.0,161
Terry Peak,Lead,South Dakota,7064,5930,1134,450,30.0,4.0,150
Mount Snow,Dover,Vermont,3600,1900,1700,600,86.0,20.0,156
Wintergreen,Charlottesville,Virginia,3515,2512,1003,129,26.0,5.0,35
Angel Fire Resort,Angel Fire,New Mexico,10677,8600,2077,560,80.0,7.0,210
Bridger Bowl,Bozeman,Montana,8700,6100,2600,2000,75.0,11.0,350
Turner Mountain,Libby,Montana,5952,3842,2110,1000,22.0,1.0,200
Discovery,Anaconda,Montana,8158,5770,2388,2200,67.0,8.0,150
Great Divide,Helena,Montana,7210,5880,1330,1500,140.0,6.0,180
Showdown,Great Falls,Montana,8200,6800,1400,640,36.0,4.0,240
Maverick Mountain,Dillon,Montana,8820,6800,2020,350,24.0,2.0,200
Lost Trail Powder Mountain,Hamilton,Montana,8200,6400,1800,1800,60.0,8.0,325
Blacktail Mountain,Kalispell,Montana,6780,5340,1440,1000,26.0,4.0,250
Bear Paw Ski Bowl,Havre,Montana,5280,4200,1080,80,11.0,2.0,140
Red Lodge Mountain,Red Lodge,Montana,9416,7016,2400,1635,70.0,7.0,250
Montana Snowbowl,Missoula,Montana,7600,5000,2600,950,39.0,4.0,300
Teton Pass,Choteau,Montana,7200,6190,1010,114,26.0,2.0,250
White Pass,Yakima,Washington,6500,4500,2000,1400,45.0,8.0,350
49 Degrees North,Spokane,Washington,5774,3923,1851,2325,82.0,6.0,300
Hurricane Ridge,Port Angeles,Washington,5500,4800,700,,10.0,3.0,400
The Summit at Snoqualmie,North Bend,Washington,5420,2610,2280,1914,62.0,27.0,435
Ski Bluewood,Dayton,Washington,5670,4454,1216,530,24.0,3.0,300
Mount Spokane,Spokane,Washington,5889,3818,2071,1704,52.0,8.0,300
Mission Ridge,Wenatchee,Washington,6820,4570,2250,2000,36.0,6.0,200
Loup Loup Ski Bowl,Twisp,Washington,5280,4040,1240,550,10.0,3.0,150
Badger Mountain,Waterville,Washington,3470,3145,325,10,5.0,3.0,120
Mount Eyak,Cordova,Alaska,1200,400,800,100,10.0,2.0,350
Moose Mountain,Fairbanks,Alaska,1985,685,1300,200,40.0,0.0,70
Eaglecrest,Juneau,Alaska,2750,1130,1620,640,34.0,4.0,350
Hilltop,Anchorage,Alaska,780,486,294,30,13.0,3.0,69
Arctic Valley,Anchorage,Alaska,4000,2500,1500,320,24.0,3.0,250
White Pine,Pinedale,Wyoming,9500,8450,1050,350,27.0,2.0,150
Snowy Range,Centennial,Wyoming,9663,8798,865,250,27.0,5.0,245
Snow King,Jackson,Wyoming,7808,6237,1571,400,32.0,5.0,175
Pine Creek,Cokeville,Wyoming,8200,6875,1325,370,30.0,2.0,150
Hogadon,Casper,Wyoming,8000,7370,630,60,27.0,2.0,140
Sleeping Giant,Cody,Wyoming,7428,6619,810,184,49.0,3.0,310
Elko Snobowl,Elko,Nevada,6988,6338,650,60,10.0,2.0,24
Diamond Peak,Incline Village,Nevada,8540,6700,1840,655,30.0,6.0,225
Great Bear Ski Valley,Sioux Falls,South Dakota,1530,1352,178,220,14.0,4.0,150
Huff Hills,Mandan,North Dakota,2150,1725,425,,21.0,3.0,40
Bottineau Winter Park,Bottineau,North Dakota,2450,2270,180,40,8.0,6.0,13
Elk Ridge,Williams,Arizona,8150,7500,650,37,10.0,2.0,150
Mount Lemmon Ski Valley,Tucson,Arizona,9157,8200,957,200,21.0,3.0,180
Sunrise Park,Greer,Arizona,11100,9200,1900,800,65.0,9.0,250
Sandia Peak,Albuquerque,New Mexico,10378,8678,1700,200,39.0,5.0,100
Ski Apache,Ruidoso,New Mexico,11500,9600,1900,750,55.0,8.0,185
Sipapu,Taos,New Mexico,9225,8200,1055,200,41.0,6.0,190
Red River,Red River,New Mexico,10350,8750,1600,209,64.0,7.0,214
Kelly Canyon,Idaho Falls,Idaho,6600,5600,1000,640,26.0,5.0,200
Pebble Creek,Pocatello,Idaho,8560,6360,2200,1100,54.0,3.0,250
Magic Mountain,Twin Falls,Idaho,7240,6540,700,120,11.0,4.0,230
Snowhaven,Grangeville,Idaho,5600,5200,400,40,9.0,2.0,60
Tamarack,Boise,Idaho,7660,4900,2760,1100,45.0,6.0,300
Cottonwood Butte,Cottonwood,Idaho,5730,4885,845,260,7.0,2.0,45
Bald Mountain,Pierce,Idaho,4800,4000,800,140,16.0,2.0,100
Silver Mountain,Coeur d'Alene,Idaho,6297,4100,2197,1600,67.0,8.0,300
Mohawk Mountain,Cornwall,Connecticut,1600,960,640,107,25.0,8.0,24
Powder Ridge,Middlefield,Connecticut,803,377,426,80,19.0,7.0,60
Ski Sundown,Hartford,Connecticut,1075,450,625,70,16.0,5.0,45
Mount Southington,Waterbury,Connecticut,525,100,425,51,14.0,7.0,80
Yawgoo Valley,Exeter,Rhode Island,310,70,240,36,14.0,3.0,39
Hidden Valley,Wildwood,Missouri,860,540,320,65,17.0,9.0,19
Snow Creek,Weston,Missouri,1099,799,300,25,12.0,5.0,20
Ober Gatlinburg,Gatlinburg,Tennessee,3300,2700,600,38,10.0,4.0,9
Paoli Peaks,Paoli,Indiana,900,600,300,65,17.0,8.0,18
Perfect North Slopes,Lawrenceburg,Indiana,800,400,400,100,23.0,11.0,23
Alpine Valley,Chesterland,Ohio,1500,1260,240,72,11.0,5.0,120
Boston Mills/Brandywine,Peninsula,Ohio,871,531,240,79,18.0,16.0,54
Mad River,Bellafontaine,Ohio,1460,1160,300,144,23.0,12.0,36
Snow Trails,Mansfield,Ohio,1475,1175,300,80,17.0,7.0,52
Big Creek,Concord,Ohio,1466,1292,174,23,5.0,2.0,102
Wisp Ski Resort,McHenry,Maryland,3115,2145,700,132,34.0,12.0,100
Campgaw Mountain,Mahwah,New Jersey,726,450,276,23,12.0,5.0,45
Mountain Creek,Vernon,New Jersey,1490,450,1040,167,46.0,9.0,65
Cockaigne Resort,Cherry Creek,New York,2022,1592,430,100,11.0,3.0,175
Big Rock,Presque Isle,Maine,1590,670,920,60,27.0,3.0,100
Big Moose Mountain,Greenville,Maine,2920,1300,1620,1216,33.0,2.0,136
Mount Jefferson,Lee,Maine,775,343,432,160,13.0,2.0,75
New Hermon Mountain,Bangor,Maine,450,150,300,70,20.0,3.0,90
Camden Snow Bowl,Camden,Maine,1080,235,845,100,17.0,3.0,50
Lost Valley,Lewiston,Maine,480,240,240,45,27.0,4.0,99
Pleasant Mountain,Bridgton,Maine,1900,600,1300,245,44.0,6.0,110
Sunday River,Newry,Maine,3140,800,2340,870,153.0,18.0,155
Ski Mount Abraham,Bethel,Maine,1990,940,1050,650,44.0,5.0,115
Black Mountain of Maine,Rumford,Maine,2380,1000,1380,300,46.0,2.0,120
Titcomb Mountain,Farmington,Maine,750,400,350,45,16.0,3.0,85
Eaton Mountain,Waterville,Maine,840,220,620,130,18.0,2.0,72
Blandford Ski Area,Blandford,Massachusetts,1490,1025,465,55,29.0,5.0,70
Berkshire East,Greenfield,Massachusetts,1720,540,1180,180,45.0,6.0,120
Ski Butternut,Great Barrington,Massachusetts,1764,645,1119,110,22.0,10.0,115
Jiminy Peak,Pittsfield,Massachusetts,2375,1125,1140,170,45.0,8.0,110
Wachusett Mountain,Worcester,Massachusetts,2006,1006,1000,110,22.0,7.0,100
Nashoba Valley,Boston,Massachusetts,422,182,240,59,17.0,9.0,55
Otis Ridge Ski Camp,Otis,Massachusetts,1700,1300,400,55,11.0,5.0,70
Ski Ward,Shrewsbury,Massachusetts,420,210,210,45,9.0,6.0,80
Bosquet Ski Area,Pittsfield,Massachusetts,1818,1068,750,200,23.0,5.0,83
Chestnut Mountain,Galena,Illinois,1020,600,420,220,19.0,9.0,34
Snowstar Winter Sports Park,Moline,Illinois,790,528,262,28,14.0,6.0,38
Four Lakes Alpine Snowsports,Naperville,Illinois,500,400,100,9,7.0,6.0,24
Villa Olivia,Bartlett,Illinois,500,320,180,15,7.0,7.0,25
Mount Crescent,Omaha,Iowa,1500,1200,300,50,11.0,2.0,30
Seven Oaks,Boone,Iowa,975,800,175,35,11.0,4.0,40
Sundown Mountain,Dubuque,Iowa,1059,584,475,55,21.0,6.0,45
Bryce Resort,Basye,Virginia,1750,1250,500,25,8.0,7.0,30
Massanutten Resort,Harrisonburg,Virginia,2925,1750,1110,70,13.0,7.0,35
Homestead Resort,Hot Springs,Virginia,3200,2500,700,45,10.0,2.0,50
Canaan Valley Resort,Dryfork,West Virginia,4280,3430,850,91,39.0,4.0,150
Winterplace,Ghent,West Virginia,3600,2997,603,90,28.0,9.0,100
Cloudmont Resort,Mentone,Alabama,1800,1650,150,9,2.0,2.0,0
Anthony Lakes,North Powder,Oregon,8000,7100,900,1100,21.0,3.0,300
Cooper Spur,Hood River,Oregon,4350,4000,350,50,10.0,4.0,100
Ferguson Ridge,Joseph,Oregon,5840,5200,640,170,8.0,2.0,300
Hoodoo,Sisters,Oregon,5703,4668,1035,806,32.0,5.0,360
Mount Hood Skibowl,Government Camp,Oregon,5027,3500,1527,960,65.0,9.0,300
Spout Springs,Tollgate,Oregon,5450,4920,530,200,17.0,2.0,130
