Resort Name,Nearest City,State/Province,Peak Elevation (ft),Base Elevation (ft),Vertical Drop (ft),Skiable Area (acres),Total Trails,Total Lifts,Average Annual Snowfall (inches)
Alpine Valley,White Lake,Michigan,"1,211 ft (369 m)",958 ft (292 m),253 ft (77 m),100,25.0,14.0,20
Big Powderhorn Mountain Resort,Bessemer,Michigan,"1,631 ft (497 m)","1,214 ft (370 m)",417 ft (127 m),253,45.0,10.0,214
Bittersweet Ski Resort,Otsego,Michigan,922 ft (281 m),712 ft (217 m),212 ft (65 m),100,20.0,12.0,90
Snowriver Mountain Resort,Bessemer,Michigan,"1,743 ft (531 m)","1,201 ft (366 m)",543 ft (166 m),321,56.0,17.0,205
The Highlands at Harbor Springs,Harbor Springs,Michigan,"1,306 ft (398 m)",794 ft (242 m),512 ft (156 m),300,55.0,7.0,140
Caberfae Peaks,Cadillac,Michigan,"1,529 ft (466 m)","1,191 ft (363 m)",338 ft (103 m),200,34.0,5.0,140
Cannonsburg Ski Area,Belmont,Michigan,853 ft (260 m),689 ft (210 m),164 ft (50 m),100,21.0,10.0,100
Crystal Mountain,Thompsonville,Michigan,"1,119 ft (341 m)",794 ft (242 m),325 ft (99 m),102,58.0,8.0,132
The Homestead,Glen Arbor,Michigan,879 ft (268 m),686 ft (209 m),183 ft (56 m),16,15.0,5.0,150
Marquette Mountain Ski Area,Marquette,Michigan,"1,299 ft (396 m)",778 ft (237 m),521 ft (159 m),169,25.0,4.0,117
Mont Ripley Ski Area,Hancock,Michigan,"1,066 ft (325 m)",646 ft (197 m),420 ft (130 m),112,25.0,4.0,275
Mount Bohemia,Mohawk,Michigan,"1,457 ft (444 m)",640 ft (200 m),817 ft (249 m),585,102.0,2.0,273
Mount Brighton,Brighton,Michigan,"1,115 ft (340 m)",935 ft (285 m),180 ft (55 m),130,26.0,13.0,60
Mount Holiday Ski and Recreational Area,Traverse City,Michigan,860,678,182,45,12.0,4.0,120
Mulligan's Hollow Ski Bowl,Grand Haven,Michigan,754,638,116,10,7.0,5.0,60
Norway Mountain Resort,Norway,Michigan,"1,312 ft (400 m)","1,007 ft (307 m)",305 ft (93 m),186,17.0,6.0,100
Nub's Nob Ski Area,Harbor Springs,Michigan,"1,319 ft (402 m)",912 ft (278 m),407 ft (124 m),248,53.0,10.0,123
Otsego Club and Resort,Gaylord,Michigan,"1,385 ft (422 m)","1,076 ft (328 m)",309 ft (94 m),160,30.0,5.0,150
Pine Mountain Resort,Iron Mountain,Michigan,"1,519 ft (463 m)","1,148 ft (350 m)",371 ft (113 m),220,31.0,4.0,60
Porcupine Mountains,Ontonagon,Michigan,"1,358 ft (414 m)",735 ft (224 m),623 ft (190 m),200,19.0,3.0,200
Shanty Creek Resort,Bellaire,Michigan,1129,815,314,70,42.0,8.0,160
Ski Brule,Stambaugh,Michigan,1845,1538,307,150,17.0,11.0,150
Treetops Resort,Gaylord,Michigan,1194,1038,156,80,23.0,5.0,175
Belleyare Ski Center,Kingston,New York,3429,2024,1405,173,52.0,8.0,141
Gore Mountain Ski Resort,Glens Falls,New York,3600,1000,2600,428,109.0,15.0,150
Holiday Valley,Buffalo,New York,2250,1500,750,290,58.0,13.0,180
Peek'n Peak Resort,Erie,New York,1800,1400,400,130,27.0,9.0,105
Catamount Ski Area,Great Barrington,New York,2000,1000,1000,119,36.0,7.0,75
Greek Peak Mountain Resort,Virgil,New York,2200,1148,952,220,55.0,9.0,122
Titus Mountain Family Ski Center,Malone,New York,2025,825,1200,380,50.0,10.0,150
Kissing Bridge,Glenwood,New York,1700,1150,550,700,39.0,10.0,120
Holiday Mountain,Monticello,New York,1550,1150,400,37,9.0,4.0,50
Bristol Mountain Ski Resort,Rochester,New York,2150,1000,1150,160,35.0,6.0,130
McCauley Mountain Ski Center,Old Forge,New York,2280,1647,633,70,21.0,5.0,200
Mount Peter,Warwick,New York,1250,800,450,69,14.0,5.0,50
Oak Mountain,Speculator,New York,2400,1650,750,46,22.0,4.0,120
Royal Mountain Ski Area,Johnstown,New York,1800,1250,550,35,14.0,3.0,90
Song Mountain Resort,Tully,New York,1940,1240,700,93,24.0,5.0,125
Snow Ridge Ski Resort,Turin,New York,2000,1350,650,130,21.0,6.0,230
Labrador Mountain,Truxton,New York,1825,1125,700,250,23.0,4.0,125
Swain Resort,Grove,New York,1970,1320,650,130,35.0,5.0,120
Dry Hill Ski Area,Watertown,New York,950,650,300,37,7.0,3.0,125
West Mountain,Glens Falls,New York,1470,460,1010,124,30.0,7.0,80
Willard Mountain,Greenwich,New York,1415,910,505,50,16.0,5.0,80
Toggenburg Mountain Ski Center,Fabius,New York,2000,1300,700,85,22.0,5.0,130
Woods Valley Ski Area,Rome,New York,1400,900,500,25,21.0,6.0,180
Brantling Ski Slopes,Sodus,New York,850,600,250,20,10.0,5.0,110
Plattekill Mountain,Roxbury,New York,3500,2400,1100,110,38.0,4.0,175
Bromley Mountain Resort,Manchester,Vermont,3284,1950,1334,178,47.0,9.0,168
Burke Mountain,Lyndonville,Vermont,3267,1210,2011,178,50.0,6.0,217
Cochran's Ski Area,Richmond,Vermont,950,600,350,15,8.0,3.0,150
Mad River Glen,Waitsfield,Vermont,3637,1600,2037,115,52.0,5.0,230
Jay Peak,Jay,Vermont,3968,1815,2153,385,79.0,9.0,350
Magic Mountain,Londonderry,Vermont,2850,1350,1500,205,51.0,6.0,150
Middlebury College Snow Bowl,Hancock,Vermont,2720,1720,1000,110,17.0,3.0,250
Pico Mountain,Killington,Vermont,3967,2000,1967,468,57.0,7.0,250
Saskadena Six,Pomfret,Vermont,1200,550,650,100,23.0,3.0,110
Searchmont,"Sault Ste. Marie, Ontario",Ontario,1374,759,615,100,21.0,4.0,132
Chapman Ski Hill,Durango,Colorado,7297,6522,775,7,1.0,2.0,71
Lee's Ski Hill,Ouray,Colorado,7867,7792,75,2,1.0,1.0,134
Whitewater Ski Resort,Nelson,British Columbia,6709,4665,2044,1180,46.0,4.0,472
Kimberley Alpine Resort,Kimberley,British Columbia,6500,4035,2465,1800,80.0,5.0,150
Nakiska,Kananaskis,Alberta,7415,5003,2412,1021,79.0,6.0,100
Salmo Ski Area,Salmo,British Columbia,,,1120,,,,120
Mount Washington Alpine Resort,Courtenay,British Columbia,,,1663,1700,,,432
Powder King,Prince George,British Columbia,5166,3066,2100,1475,37.0,3.0,492
Manning Park,Manning Park,British Columbia,,,1417,140,,,296
Mount Baldy Ski Area,Oliver,British Columbia,,,1293,600,,,256
Harper Mountain,Kamloops,British Columbia,,,1400,400,,,156
Little Ski Hill,McCall,Idaho,5600,5195,405,50,6.0,1.0,140
Lookout Pass Ski Area,Mullan,Idaho,6150,4500,1650,1023,52.0,5.0,400
