Resort name and website,Nearest city,State/province,Peak elevation (ft),Base elevation (ft),Vertical drop (ft),Skiable acreage,Total trails,Total lifts,Average annual snowfall (in),Date statistics updated
Timberline Lodge,Government Camp,Oregon,8540,4000,"4,540[146]",1430,35.0,9.0,540,"July 31, 2021[147]"
Warner Canyon,Lakeview,Oregon,6003,5271,732,200,21.0,1.0,50,"September 29, 2019[148]"
Willamette Pass,Oakridge,Oregon,6683,5120,1563,555,29.0,6.0,430,"September 29, 2019[149]"
Crested Butte,Crested Butte,Colorado,12170,9115,3055,1547,121.0,16.0,300,"September 30, 2019[150]"
Echo Mountain,Evergreen,Colorado,10650,10050,600,226,13.0,2.0,275,"September 30, 2019[151]"
Granby Ranch,Granby,Colorado,9202,8202,1000,406,40.0,5.0,220,"September 30, 2019[152]"
Hesperus,Durango,Colorado,8888,8200,688,60,26.0,1.0,150,"September 30, 2019[153]"
Howelson Hill,Steamboat Springs,Colorado,7136,6696,440,50,17.0,4.0,150,"September 30, 2019[154]"
Kendall Mountain,Silverton,Colorado,9540,9300,240,16,11.0,1.0,200,"September 30, 2019[155]"
Monarch,Salida,Colorado,11960,10790,1170,800,63.0,5.0,400,"September 30, 2019[156]"
Powderhorn Resort,Grand Junction,Colorado,9850,8200,1650,1600,63.0,5.0,250,"September 30, 2019[157]"
Purgatory Resort,Durango,Colorado,10822,8793,2029,1200,85.0,10.0,260,"September 30, 2019[158]"
Silverton Mountain,Silverton,Colorado,13487,10400,3087,1819,48.0,1.0,450,"September 30, 2019[159]"
Sunlight Mountain,Glenwood Springs,Colorado,9895,7885,2010,470,67.0,3.0,250,"September 30, 2019[160]"
Cranor Hill Archived 2019-09-30 at the Wayback Machine,Gunnison,Colorado,8500,8100,400,45,4.0,1.0,75,"September 30, 2019[161]"
Lake City Archived 2019-09-30 at the Wayback Machine,Lake City,Colorado,8850,8600,250,14,7.0,1.0,,"September 30, 2019[162]"
Beaver Mountain,Logan,Utah,8800,7200,1600,667,47.0,5.0,400,"September 30, 2019[163]"
Cherry Peak,Richmond,Utah,7050,5775,1265,200,29.0,3.0,322,"September 30, 2019[164]"
Eagle Point,Beaver,Utah,10600,9100,1500,650,40.0,5.0,400,"September 30, 2019[165]"
Nordic Valley,Ogden,Utah,6400,5440,960,140,23.0,4.0,300,"September 30, 2019[166]"
Snowbasin,Huntsville,Utah,9465,6450,3015,3000,118.0,13.0,325,"November 24, 2023[167]"
Solitude Mountain,Salt Lake City,Utah,10488,7988,2500,1200,80.0,8.0,500,"September 30, 2019[168]"
Sundance Mountain,Provo,Utah,8250,6100,2150,450,44.0,5.0,320,"September 30, 2019[169]"
Afton Alps,Afton,Minnesota,700,350,350,300,50.0,22.0,60,"October 1, 2019[170]"
Andes Tower Hills,Kensington,Minnesota,1620,1330,290,35,15.0,6.0,55,"October 1, 2019[171]"
Buck Hill,Burnsville,Minnesota,1211,949,262,45,16.0,9.0,60,"October 1, 2019[172]"
Buena Vista Ski Area,Bemidji,Minnesota,1510,1280,230,30,16.0,5.0,78,"October 1, 2019[173]"
Chester Bowl Park,Duluth,Minnesota,875,700,175,6,5.0,1.0,100,"October 1, 2019[174]"
Coffee Mill Ski Area,Wabasha,Minnesota,1150,725,425,40,14.0,3.0,48,"October 1, 2019"
Detroit Mountain,Detroit Lakes,Minnesota,1607,1443,210,45,21.0,8.0,,"October 1, 2019[175]"
Giants Ridge,Biwabik,Minnesota,1972,1472,500,202,35.0,7.0,85,"October 1, 2019[176]"
Hyland Hills,Bloomington,Minnesota,1075,900,175,35,13.0,6.0,60,"October 1, 2019[177]"
Lutsen Mountains,Lutsen,Minnesota,"1,678 ft (511 m)",905 ft (276 m),773 ft (236 m),593,95.0,9.0,115,"October 1, 2019[178][179]"
Mount Itasca,Grand Rapids,Minnesota,,,,,,,,"October 1, 2019[180]"
Mount Kato,Mankato,Minnesota,840,600,240,55,19.0,11.0,50,"October 1, 2019[181]"
Powder Ridge,Kimball,Minnesota,850,540,310,60,15.0,6.0,45,"October 1, 2019[182]"
Mount Ski Gull,Nisswa,Minnesota,1515,1285,230,40,10.0,5.0,50,"October 1, 2019[183]"
Spirit Mountain,Duluth,Minnesota,1298,620,678,175,22.0,8.0,90,"October 1, 2019[184]"
Welch Village,Red Wing,Minnesota,1060,700,360,140,60.0,11.0,45,"October 1, 2019[185]"
Wild Mountain,Taylors Falls,Minnesota,1113,813,300,100,26.0,9.0,50,"October 1, 2019[186]"
Abenaki Ski Area,Wolfeboro,New Hampshire,815,600,215,18,7.0,2.0,,"December 8, 2019[187]"
Arrowhead Recreation Area,Claremont,New Hampshire,,,120,225,9.0,2.0,,"December 8, 2019[188]"
Attitash Mountain Resort,North Conway,New Hampshire,2350,600,1750,311`,68.0,9.0,120,"December 8, 2019[189]"
Black Mountain Ski Area,Jackson,New Hampshire,2350,1250,1100,143,40.0,5.0,125,"December 8, 2019[190]"
Bretton Woods,Bretton Woods,New Hampshire,3100,1600,1500,464,62.0,10.0,200,"December 8, 2019[191]"
Cannon Mountain Ski Area,Franconia,New Hampshire,4180,1850,2330,265,73.0,10.0,160,"December 8, 2019[192]"
Campton Mountain,Campton,New Hampshire,1505,1192,313,,,2.0,,"December 8, 2019[193]"
Cranmore Mountain Resort,North Conway,New Hampshire,2000,600,1200,200,54.0,10.0,150,"December 8, 2019[194]"
Crotched Mountain Ski and Ride,Manchester,New Hampshire,2066,1050,1016,75,23.0,5.0,105,"December 8, 2019[195]"
Dartmouth Skiway,Lyme,New Hampshire,1943,975,968,104,30.0,4.0,100,"December 8, 2019[196]"
Veterans Memorial Recreation Area,Franklin,New Hampshire,,,220,,10.0,2.0,,"December 8, 2019[197]"
Granite Gorge,Keene,New Hampshire,1325,935,390,150,19.0,3.0,,"December 8, 2019[198]"
Gunstock Mountain Resort,Laconia,New Hampshire,2267,867,1400,227,55.0,6.0,120,"December 8, 2019[199]"
Kanc Recreation Area,Lincoln,New Hampshire,1080,859,221,7,2.0,1.0,,"December 8, 2019[200]"
King Pine Ski Area,Madison,New Hampshire,850,500,350,48,17.0,6.0,120,"December 8, 2019"
Loon Mountain Resort,Lincoln,New Hampshire,3050,950,2100,370,61.0,12.0,163,"December 8, 2019[201]"
McIntyre Ski Area,Manchester,New Hampshire,510,340,169,37,10.0,5.0,,"December 8, 2019[202]"
Mt. Eustis Ski Hill,Littleton,New Hampshire,1373,1133,240,,,1.0,,"December 8, 2019[203]"
Mount Prospect Ski Tow,Lancaster,New Hampshire,1700,1400,300,,,1.0,,"December 8, 2019[204]"
Mount Sunapee Resort,Claremont,New Hampshire,2743,1230,1513,230,66.0,11.0,100,"December 8, 2019[205]"
Pats Peak Ski Area,Henniker,New Hampshire,1460,690,770,103,28.0,11.0,100,"December 8, 2019[206]"
Ragged Mountain Resort,Danbury,New Hampshire,2250,1000,1250,250,57.0,6.0,100,"December 8, 2019[207]"
Red Hill Ski Area,Moultonborough,New Hampshire,820,610,210,,9.0,1.0,,"December 8, 2019[208]"
Storrs Hill Ski Area,Lebanon,New Hampshire,580,280,300,20,3.0,1.0,,"December 8, 2019[209]"
Tenney Mountain Resort,Plymouth,New Hampshire,2149,749,1400,110,45.0,3.0,140,"December 8, 2019[210]"
Waterville Valley Resort,Waterville Valley,New Hampshire,3840,1820,2020,220,50.0,11.0,150,"December 8, 2019[211]"
Whaleback Mountain,Enfield,New Hampshire,1800,1100,700,85,30.0,4.0,110,"December 8, 2019[212]"
Wildcat Mountain,Jackson,New Hampshire,4062,1950,2112,225,48.0,5.0,207,"December 8, 2019[213]"
Bear Creek Mountain Resort,Macungie,Pennsylvania,1100,590,510,86,23.0,7.0,30,"December 9, 2019[214]"
Blue Knob All Seasons Resort,Claysburg,Pennsylvania,3146,2074,1072,100,34.0,6.0,120,"December 9, 2019[215]"
Blue Mountain Ski Area,Palmerton,Pennsylvania,1540,458,1082,164,39.0,13.0,33,"December 9, 2019[216]"
Boyce Park Four Seasons Lodge Archived 2020-10-20 at the Wayback Machine,Plum,Pennsylvania,1245,1115,130,25,9.0,5.0,,"December 9, 2019[217]"
Camelback Mountain Resort,Scranton,Pennsylvania,2130,1330,800,166,35.0,16.0,50,"December 9, 2019[218]"
Elk Mountain Ski Resort,Scranton,Pennsylvania,2667,1742,925,180,27.0,7.0,60,"December 9, 2019[219]"
Hidden Valley Resort,Hidden Valley,Pennsylvania,2875,2405,470,110,26.0,11.0,140,"December 9, 2019[220]"
Jack Frost - Big Boulder Ski Area,White Haven,Pennsylvania,2000,1400,600,145,35.0,22.0,50,"December 9, 2019[221]"
Laurel Mountain Ski Resort,Ligonier,Pennsylvania,2800,2000,800,70,20.0,2.0,,"December 9, 2019[222]"
Liberty Mountain Resort,Gettysburg,Pennsylvania,1190,570,620,100,22.0,9.0,31,"December 9, 2019[223]"
Mount Pleasant of Edinboro,Edinboro,Pennsylvania,1550,1200,350,35,10.0,2.0,150,"December 9, 2019[224]"
Seven Springs Mountain Resort,Seven Springs,Pennsylvania,2994,2240,750,285,40.0,14.0,150,"December 9, 2019[225]"
Shawnee Mountain Ski Area,East Stroudsburg,Pennsylvania,1351,700,651,125,23.0,9.0,50,"December 9, 2019[226]"
Ski Big Bear,Lackawaxen,Pennsylvania,1250,600,650,26,18.0,7.0,69,"December 9, 2019[227]"
Denton Hill State Park,Ulysses,Pennsylvania,2460,1800,660,,,5.0,,"December 9, 2019[228]"
Roundtop Mountain Resort,Lewisberry,Pennsylvania,1335,755,600,103,20.0,7.0,30,"December 9, 2019[229]"
Spring Mountain Adventure,Schwenksville,Pennsylvania,528,78,450,45,9.0,6.0,20,"December 9, 2019"
Ski Sawmill Resort,Morris,Pennsylvania,2215,1700,515,15,14.0,5.0,24,"December 9, 2019"
Montage Mountain Resorts,Scranton,Pennsylvania,1960,960,1000,140,26.0,9.0,60,"December 9, 2019"
Tussey Mountain Ski and Recreation,State College,Pennsylvania,1750,1230,520,38,7.0,3.0,41,"December 9, 2019"
Whitetail Resort,Clear Spring,Pennsylvania,1800,865,935,109,25.0,9.0,40,"December 9, 2019[230]"
Alpine Valley Resort,Elkhorn,Wisconsin,1040,820,220,90,20.0,12.0,80,"December 9, 2019[231]"
Bruce Mound Winter Sports Area,Merrillan,Wisconsin,1375,1000,375,40,12.0,5.0,42,"December 9, 2019[232]"
Camp 10 Ski Area,Rhinelander,Wisconsin,1740,1510,230,,15.0,4.0,,"December 9, 2019[233]"
Cascade Mountain,Portage,Wisconsin,1270,820,450,175,47.0,11.0,56,"December 9, 2019[234]"
Christie Mountain,Bruce,Wisconsin,1650,1300,350,45,30.0,5.0,48,"December 9, 2019"
Christmas Mountain,Wisconsin Dells,Wisconsin,1250,1000,250,40,16.0,3.0,20,"December 9, 2019[235]"
The Rock Snowpark,Milwaukee,Wisconsin,925,700,225,75,10.0,5.0,,"December 9, 2019[236]"
Devil's Head Resort,Baraboo,Wisconsin,1420,930,490,268,28.0,10.0,55,"December 9, 2019[237]"
Granite Peak Ski Area,Wausau,Wisconsin,1950,1250,700,220,75.0,7.0,75,"December 9, 2019[238]"
Kettlebowl Ski Area,Antigo,Wisconsin,1780,1455,325,,7.0,5.0,,"December 9, 2019[239]"
Kewaunee Winter Park,Kewaunee,Wisconsin,740,580,160,,5.0,1.0,,"December 9, 2019[240]"
Keyes Peak Ski Hill,Florence,Wisconsin,1480,1250,230,,5.0,2.0,60,"December 9, 2019[241]"
Little Switzerland Ski Area,Slinger,Wisconsin,1269,1069,200,50,18.0,8.0,45,"December 9, 2019[242]"
Mont Du Lac Resort,Superior,Wisconsin,920,640,270,10,11.0,2.0,55,"December 9, 2019[243]"
Grand Geneva Resort and Spa Archived 2019-12-11 at the Wayback Machine,Lake Geneva,Wisconsin,1000,789,211,30,20.0,5.0,25,"December 9, 2019[244]"
Mount Ashwabay Ski and Recreation Area,Bayfield,Wisconsin,,,317,65,13.0,2.0,,"December 9, 2019[245]"
Mount La Cross,La Crosse,Wisconsin,1010,594,516,100,19.0,4.0,40,"December 9, 2019[246]"
Navarino Hills,Shiocton,Wisconsin,885,785,100,,,4.0,,"December 9, 2019[247]"
Nordic Mountain,Wild Rose,Wisconsin,1137,872,265,60,18.0,7.0,80,"December 9, 2019[248]"
Nutt Hill Ski Area,Plymouth,Wisconsin,,,100,10,2.0,1.0,,"December 9, 2019[249]"
Powers Bluff County Park and Winter Recreation Area,Arpin,Wisconsin,1430,1180,250,,3.0,2.0,,"December 9, 2019[250]"
Standing Rocks County Park and Winter Recreation Area Archived 2019-12-09 at the Wayback Machine,Portage,Wisconsin,,,125,,5.0,1.0,,"December 9, 2019[251]"
Sunburst Winter Sports Park,West Bend,Wisconsin,1100,866,214,40,12.0,9.0,50,"December 9, 2019[252]"
Triangle Sports Area Archived 2019-12-09 at the Wayback Machine,Green Bay,Wisconsin,710,640,70,,2.0,3.0,,"December 9, 2019[253]"
Trollhaugen,Dresser,Wisconsin,1200,920,280,86,24.0,10.0,50,"December 9, 2019"
Tyrol Basin,Mount Horeb,Wisconsin,1130,870,260,30,16.0,6.0,41,"December 9, 2019"
Whitecap Mountains Resort,Upson,Wisconsin,1759,1449,310[37],208,43.0,5.0,200,"February 15, 2025"
Whitetail Ridge Ski Area,Fort McCoy,Wisconsin,1050,865,185,,,1.0,,"December 9, 2019[254]"
Wilmot Mountain Ski Resort,Wilmot,Wisconsin,960,770,190,120,23.0,11.0,48,"December 9, 2019[255]"
Alpine Valley,White Lake,Michigan,"1,211 ft (369 m)",958 ft (292 m),253 ft (77 m),100,25.0,14.0,20,"February 11, 2025[256][257]"
Big Powderhorn Mountain Resort,Bessemer,Michigan,"1,631 ft (497 m)","1,214 ft (370 m)",417 ft (127 m),253,45.0,10.0,214,"February 22, 2025[258]"
Bittersweet Ski Resort,Otsego,Michigan,922 ft (281 m),712 ft (217 m),212 ft (65 m),100,20.0,12.0,90,February 12. 2025[259]
Snowriver Mountain Resort,Bessemer,Michigan,"1,743 ft (531 m)","1,201 ft (366 m)",543 ft (166 m),321,56.0,17.0,205,"February 13, 2025[37]"
The Highlands at Harbor Springs,Harbor Springs,Michigan,"1,306 ft (398 m)",794 ft (242 m),512 ft (156 m),300,55.0,7.0,140,"February 22,2025[260]"
Caberfae Peaks,Cadillac,Michigan,"1,529 ft (466 m)","1,191 ft (363 m)",338 ft (103 m),200,34.0,5.0,140,"February 22, 2025[261]"
Cannonsburg Ski Area,Belmont,Michigan,853 ft (260 m),689 ft (210 m),164 ft (50 m),100,21.0,10.0,100,"February 22, 2025[262]"
Crystal Mountain,Thompsonville,Michigan,"1,119 ft (341 m)",794 ft (242 m),325 ft (99 m),102,58.0,8.0,132,"February 22, 2025[263]"
Hickory Hills Ski Area,Traverse City,Michigan,984 ft (300 m),771 ft (235 m),213 ft (65 m),125,8.0,5.0,,"February 23, 2025[264]"
The Homestead,Glen Arbor,Michigan,879 ft (268 m),686 ft (209 m),183 ft (56 m),16,15.0,5.0,150,"February 23, 2015[265]"
Marquette Mountain Ski Area,Marquette,Michigan,"1,299 ft (396 m)",778 ft (237 m),521 ft (159 m),169,25.0,4.0,117,"February 23, 2025[266]"
Mont Ripley Ski Area,Hancock,Michigan,"1,066 ft (325 m)",646 ft (197 m),420 ft (130 m),112,25.0,4.0,275,"February 23, 2025[267]"
Mount Bohemia,Mohawk,Michigan,"1,457 ft (444 m)",640 ft (200 m),817 ft (249 m),585,102.0,2.0,273,"February 12, 2025[268]"
Mount Brighton,Brighton,Michigan,"1,115 ft (340 m)",935 ft (285 m),180 ft (55 m),130,26.0,13.0,60,"March 25, 2025[269]"
Mount Holiday Ski and Recreational Area,Traverse City,Michigan,860,678,182,45,12.0,4.0,120,"February 15, 2025[37]"
Mount McSauba Archived 2019-12-09 at the Wayback Machine,Charlevoix,Michigan,743,607,136,80,10.0,4.0,,"February 15, 2025[270][37]"
Mount Zion Ski Hill,Ironwood,Michigan,1712,1422,290,20,9.0,2.0,,"February 15, 2025[37]"
Mulligan's Hollow Ski Bowl,Grand Haven,Michigan,754,638,116,10,7.0,5.0,60,"February 15, 2025[37]"
Norway Mountain Resort,Norway,Michigan,"1,312 ft (400 m)","1,007 ft (307 m)",305 ft (93 m),186,17.0,6.0,100,"March 25, 2025[271]"
Nub's Nob Ski Area,Harbor Springs,Michigan,"1,319 ft (402 m)",912 ft (278 m),407 ft (124 m),248,53.0,10.0,123,"March 25, 2025[272]"
Otsego Club and Resort,Gaylord,Michigan,"1,385 ft (422 m)","1,076 ft (328 m)",309 ft (94 m),160,30.0,5.0,150,"March 26, 2025[273][37]"
Mt Holly,Holly,Michigan,"1,243 ft (379 m)",964 ft (294 m),279 ft (85 m),,20.0,7.0,,"March 25, 2025[274]"
Pine Knob,Clarkston,Michigan,"1,283 ft (391 m)","1,027 ft (313 m)",256 ft (78 m),80,14.0,6.0,,"March 26, 2025[275]"
Pine Mountain Resort,Iron Mountain,Michigan,"1,519 ft (463 m)","1,148 ft (350 m)",371 ft (113 m),220,31.0,4.0,60,"March 26, 2025[276]"
Porcupine Mountains,Ontonagon,Michigan,"1,358 ft (414 m)",735 ft (224 m),623 ft (190 m),200,19.0,3.0,200,"July 19, 2025[277][37]"
Shanty Creek Resort,Bellaire,Michigan,1129,815,314,70,42.0,8.0,160,"February 14, 2025[37]"
Ski Brule,Stambaugh,Michigan,1845,1538,307,150,17.0,11.0,150,"February 12, 2025[37]"
Snow Snake Mountain Ski Area,Harrison,Michigan,1230,1020,210,40,12.0,6.0,,"February 15, 2025[37]"
Timber Ridge,Gobles,Michigan,922,736,186,50,16.0,8.0,,"February 15, 2025[37]"
Treetops Resort,Gaylord,Michigan,1194,1038,156,80,23.0,5.0,175,"February 15, 2025[37]"
Belleyare Ski Center,Kingston,New York,3429,2024,1405,173,52.0,8.0,141,"December 10, 2019[278]"
Gore Mountain Ski Resort,Glens Falls,New York,3600,1000,2600,428,109.0,15.0,150,"December 10, 2019[279]"
Holiday Valley,Buffalo,New York,2250,1500,750,290,58.0,13.0,180,"December 10, 2019[280]"
Peek'n Peak Resort,Erie,New York,1800,1400,400,130,27.0,9.0,105,"December 10, 2019[281]"
Catamount Ski Area,Great Barrington,New York,2000,1000,1000,119,36.0,7.0,75,"December 10, 2019[282]"
Greek Peak Mountain Resort,Virgil,New York,2200,1148,952,220,55.0,9.0,122,"December 10, 2019[283]"
Titus Mountain Family Ski Center,Malone,New York,2025,825,1200,380,50.0,10.0,150,"December 10, 2019[284]"
Kissing Bridge,Glenwood,New York,1700,1150,550,700,39.0,10.0,120,"December 10, 2019[285]"
Holiday Mountain,Monticello,New York,1550,1150,400,37,9.0,4.0,50,"December 9, 2019[286]"
Bristol Mountain Ski Resort,Rochester,New York,2150,1000,1150,160,35.0,6.0,130,"December 9, 2019[287]"
Buffalo Ski Center,Colden,New York,3429,2025,500,225,43.0,6.0,,"December 9, 2019[288]"
Big Tupper Ski Area,Tupper Lake,New York,,,,,,,,"December 9, 2019[289]"
Hickory Ski Center,,New York,,,,,,,,"December 9, 2019[290]"
Four Season Ski Center,Fayetteville,New York,604,545,59,12,4.0,2.0,,"December 10, 2019[291]"
Maple Ski Ridge,Schenectady,New York,1200,750,450,25,10.0,3.0,,"December 10, 2019[292]"
McCauley Mountain Ski Center,Old Forge,New York,2280,1647,633,70,21.0,5.0,200,"December 10, 2019[293]"
Mount Pisgah Ski Area,Saranac Lake,New York,2060,1770,290,15,5.0,1.0,,"December 10, 2019[294]"
Beartown Ski Area,Plattburgh,New York,1000,850,150,32,9.0,2.0,,"December 10, 2019[295]"
Mount Peter,Warwick,New York,1250,800,450,69,14.0,5.0,50,"December 10, 2019[296]"
Oak Mountain,Speculator,New York,2400,1650,750,46,22.0,4.0,120,"December 10, 2019"
Royal Mountain Ski Area,Johnstown,New York,1800,1250,550,35,14.0,3.0,90,"December 10, 2019[297]"
Song Mountain Resort,Tully,New York,1940,1240,700,93,24.0,5.0,125,"December 10, 2019[298]"
Snow Ridge Ski Resort,Turin,New York,2000,1350,650,130,21.0,6.0,230,"December 10, 2019[299]"
Labrador Mountain,Truxton,New York,1825,1125,700,250,23.0,4.0,125,"December 10, 2019[298]"
Swain Resort,Grove,New York,1970,1320,650,130,35.0,5.0,120,"December 10, 2019[300]"
Dry Hill Ski Area,Watertown,New York,950,650,300,37,7.0,3.0,125,"December 10, 2019[301]"
Thunder Ridge Ski Area,Patterson,New York,1270,670,600,90,21.0,7.0,,"December 10, 2019"
West Mountain,Glens Falls,New York,1470,460,1010,124,30.0,7.0,80,"December 10, 2019[302]"
Willard Mountain,Greenwich,New York,1415,910,505,50,16.0,5.0,80,"December 10, 2019[303]"
Toggenburg Mountain Ski Center,Fabius,New York,2000,1300,700,85,22.0,5.0,130,"December 10, 2019[304]"
Woods Valley Ski Area,Rome,New York,1400,900,500,25,21.0,6.0,180,"December 10, 2019[305]"
Brantling Ski Slopes,Sodus,New York,850,600,250,20,10.0,5.0,110,"December 10, 2019[306]"
Plattekill Mountain,Roxbury,New York,3500,2400,1100,110,38.0,4.0,175,"December 10, 2019[307]"
Bromley Mountain Resort,Manchester,Vermont,3284,1950,1334,178,47.0,9.0,168,"December 10, 2019[308]"
Burke Mountain,Lyndonville,Vermont,3267,1210,2011,178,50.0,6.0,217,"December 10, 2019[309]"
Cochran's Ski Area,Richmond,Vermont,950,600,350,15,8.0,3.0,150,"December 10, 2019[310]"
Hard'ack Recreation Area,St. Albans,Vermont,,,100,,,1.0,,"December 10, 2019[311]"
Living Memorial Park,Brattleboro,Vermont,1126,922,204,8,2.0,1.0,,"December 10, 2019[312]"
Lyndon Outing Club,Lyndon,Vermont,1247,814,433,32,10.0,2.0,,"December 10, 2019[313]"
Mad River Glen,Waitsfield,Vermont,3637,1600,2037,115,52.0,5.0,230,"December 10, 2019"
Jay Peak,Jay,Vermont,3968,1815,2153,385,79.0,9.0,350,"December 10, 2019[314]"
Magic Mountain,Londonderry,Vermont,2850,1350,1500,205,51.0,6.0,150,"December 10, 2019[315]"
Middlebury College Snow Bowl,Hancock,Vermont,2720,1720,1000,110,17.0,3.0,250,"December 10, 2019[316]"
Pico Mountain,Killington,Vermont,3967,2000,1967,468,57.0,7.0,250,"December 10, 2019[317]"
Saskadena Six,Pomfret,Vermont,1200,550,650,100,23.0,3.0,110,"December 10, 2019[318]"
Searchmont,"Sault Ste. Marie, Ontario",Ontario,1374,759,615,100,21.0,4.0,132,"February 15, 2025[319][320][37]"
Chapman Ski Hill,Durango,Colorado,7297,6522,775,7,1.0,2.0,71,"June 21, 2020[321]"
Lee's Ski Hill,Ouray,Colorado,7867,7792,75,2,1.0,1.0,134,"June 21, 2020[322]"
Whitewater Ski Resort,Nelson,British Columbia,6709,4665,2044,1180,46.0,4.0,472,
Kimberley Alpine Resort,Kimberley,British Columbia,6500,4035,2465,1800,80.0,5.0,150,"June 21, 2023[323][324]"
Nakiska,Kananaskis,Alberta,7415,5003,2412,1021,79.0,6.0,100,
Salmo Ski Area,Salmo,British Columbia,,,1120,,,,120,
Sasquatch Mountain,Chehalis,British Columbia,,,1100,300,,,,
Mount Washington Alpine Resort,Courtenay,British Columbia,,,1663,1700,,,432,
Powder King,Prince George,British Columbia,5166,3066,2100,1475,37.0,3.0,492[325],"July 5, 2023[326]"
Manning Park,Manning Park,British Columbia,,,1417,140,,,296,
Mount Baldy Ski Area,Oliver,British Columbia,,,1293,600,,,256,
Harper Mountain,Kamloops,British Columbia,,,1400,400,,,156,
Little Ski Hill,McCall,Idaho,5600,5195,405,50,6.0,1.0,140,"February 15, 2022[327]"
Lookout Pass Ski Area,Mullan,Idaho,6150,4500,1650,1023,52.0,5.0,400,"November 16, 2023"
Cazenovia Ski Club,Cazenovia,New York,1460,960,500,98,14.0,2.0,,"October 25, 2024[328]"
Adanac Ski Hill,Sudbury,Ontario,,,,,,,,"February 15, 2025"
Alpine Ski Club,Collingwood,Ontario,,,,,,,,"February 15, 2025"
Antoine Mountain,Mattawa,Ontario,,,,,,,,"February 15, 2025"
Batawa Ski Hill,Batawa,Ontario,,,,,,,,"February 15, 2025"
Beaver Valley Ski Club,Beaver Valley,Ontario,,,,,,,,"February 15, 2025"
Boler Mountain,London,Ontario,,,,,,,,"February 15, 2025"
Boogie Mountain,Espanola,Ontario,,,,,,,,"February 15, 2025"
Brimacombe,Orono,Ontario,,,,,,,,"February 15, 2025"
Calabogie Peaks,Calabogie,Ontario,,,,,,,,"February 15, 2025"
Caledon Ski Club,Caledon,Ontario,,,,,,,,"February 15, 2025"
Chicopee Ski Club,Kitchener,Ontario,,,,,,,,"February 15, 2025"
Craigleith Ski Club,Collingwood,Ontario,,,,,,,,"February 15, 2025"
Dagmar,Uxbridge,Ontario,,,,,,,,"February 15, 2025"
Devil's Glen,Glen Huron,Ontario,,,,,,,,"February 15, 2025"
Earl Bales Park,Toronto,Ontario,,,,,,,,"February 15, 2025"
Georgian Peaks Club,Collingwood,Ontario,,,,,,,,"February 15, 2025"
Glen Eden,Milton,Ontario,,,,,,,,"February 15, 2025"
The Heights Ski Club,[[]],Ontario,,,,,,,,"February 15, 2025"
Hidden Valley Highlands,Mono,Ontario,,,,,,,,"February 15, 2025"
Hockley Valley,[[]],Ontario,,,,,,,,"February 15, 2025"
Horseshoe Resort,Barrie,Ontario,,,,,,,,"February 15, 2025"
Kiwissa Ski Hill,Manitouwadge,Ontario,,,,,,,,"February 15, 2025"
Larder Lake Ski Hill,Larder Lake,Ontario,,,,,,,,"February 15, 2025"
Laurentian,North Bay,Ontario,,,,,,,,"February 15, 2025"
Lively,[[]],Ontario,,,,,,,,"February 15, 2025"
Loch Lomond,[[]],Ontario,,,,,,,,"February 15, 2025"
Mansfield Ski Club,[[]],Ontario,,,,,,,,"February 15, 2025"
Mount St. Louis Moonstone,[[]],Ontario,,,,,,,,"February 15, 2025"
Mt. Baldy,[[]],Ontario,,,,,,,,"February 15, 2025"
Mt. Dufour,[[]],Ontario,,,,,,,,"February 15, 2025"
Mt. Evergreen,[[]],Ontario,,,,,,,,"February 15, 2025"
Mt. Fairweather,[[]],Ontario,,,,,,,,"February 15, 2025"
Mt. Jamieson,[[]],Ontario,,,,,,,,"February 15, 2025"
Mt. Martin,[[]],Ontario,,,,,,,,"February 15, 2025"
Mt. Pakenham,[[]],Ontario,,,,,,,,"February 15, 2025"
Osler Bluff Ski Club,[[]],Ontario,,,,,,,,"February 15, 2025"
Sir Sam’s,[[]],Ontario,,,,,,,,"February 15, 2025"
Ski Lakeridge,[[]],Ontario,,,,,,,,"February 15, 2025"
Snow Valley,[[]],Ontario,,,,,,,,"February 15, 2025"
Trestle Ridge,[[]],Ontario,,,,,,,,"February 15, 2025"
Tri Town,[[]],Ontario,,,,,,,,"February 15, 2025"
Uplands,[[]],Ontario,,,,,,,,"February 15, 2025"
Whirlpool Aero Car,[[]],Ontario,,,,,,,,"February 15, 2025"
